id,compound,formula
LMFA01020120,4_4-dimethyl-2Z-pentenoic acid,C7H12O2
LMFA01020121,2_2-dimethyl-4-pentenoic acid,C7H12O2
LMFA01020122,2-isopropyl-2E-butenoic acid,C7H12O2
LMFA01020123,3-isopropyl-3-butenoic acid,C7H12O2
LMFA01020124,6-methyl-5-heptenoic acid,C8H14O2
LMFA01020125,2-ethyl-3E-hexenoic acid,C8H14O2
LMFA01020126,3-tert-butyl-3-butenoic acid,C8H14O2
LMFA01020127,2-pentyl-3-butenoic acid,C9H16O2
LMFA01020128,3-methyl-2-nonenoic acid,C10H18O2
LMFA01020129,2_7-dimethyl-6-octenoic acid,C10H18O2
LMFA01020130,2_7-dimethyl-6-nonenoic acid,C11H20O2
LMFA01020131,4-ethyl-2-methyl-2-octenoic acid,C11H20O2
LMFA01020132,2_4-dimethyl-2E-dodecenoic acid,C14H26O2
LMFA01020133,2_4-dimethyl-2E-tetradecenoic acid,C16H30O2
LMFA01020134,2_4-dimethyl-2-eicosenoic acid,C22H42O2
LMFA01020135,2-propyl-9Z-octadecenoic Acid,C21H40O2
LMFA01020136,2-methyl-2-eicosenoic acid,C21H40O2
LMFA01020138,4-heptyl-2-methyl-2-undecenoic acid,C19H36O2
LMFA01020139,2_5-dimethyl-2-heptadecenoic acid,C19H36O2
LMFA01020140,14-methyl-4-pentadecenoic acid,C16H30O2
LMFA01020141,2-hexyl-2-decenoic acid,C16H30O2
LMFA01020142,6-isopentyl-9-methyl-5-decenoic acid,C16H30O2
LMFA01020143,2-decyl-2-propenoic acid,C13H24O2
LMFA01020144,4_4-dimethyl-pentanoic acid,C7H14O2
LMFA01020145,3_4-dimethyl-pentanoic acid,C7H14O2
LMFA01020146,2-ethyl-2-methyl-butanoic acid,C7H14O2
LMFA01020147,3-methyl-heptanoic acid,C8H16O2
LMFA01020148,5-methyl-heptanoic acid,C8H16O2
LMFA01020149,4-ethyl-hexanoic acid,C8H16O2
LMFA01020150,2_2-dimethyl-hexanoic acid,C8H16O2
LMFA01020151,2-ethyl-2-methyl-pentanoic acid,C8H16O2
LMFA01020152,2-isopropyl-hexanoic acid,C9H18O2
LMFA01020153,3_5_5-trimethyl-hexanoic acid,C9H18O2
LMFA01020154,3-methyl-nonanoic acid,C10H20O2
LMFA01020155,3_3-dimethyl-nonanoic acid,C11H22O2
LMFA01020156,3R-methyl-undecanoic acid,C12H24O2
LMFA01020157,4S-methyl-dodecanoic acid,C13H26O2
LMFA01020158,2-ethyl-dodecanoic acid,C14H28O2
LMFA01020159,9-methyl-tridecanoic acid,C14H28O2
LMFA01020160,6-ethyl-dodecanoic acid,C14H28O2
LMFA01020161,2_4-dimethyl-dodecanoic acid,C14H28O2
